"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"pncall5","EQ_DHS","PUBLISHED","2007","AFR","","ZMB","","","","WQ3","41.1","41.06000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","AFR","","ZMB","","","","WQ5","94.2","94.20000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","AFR","","ZWE","","","","WQ5","97.4","97.35000","","",""
"pncall5","EQ_DHS","PUBLISHED","2005","AFR","","ZWE","","","","WQ2","59.1","59.09000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","ZWE","","","","WQ3","66.5","66.47000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AFR","","ZWE","","","","WQ5","91.8","91.78000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","AFR","","ZWE","","","","WQ5","92.2","92.18000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","EUR","","ALB","SHLM","","","","100.0","100.00000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","EUR","","ARM","NHLM","","",""," ","","","","Not reported due to very low sample size- Estimate is based on fewer than 25 cases."
"pncall3","EQ_DHS","PUBLISHED","2010","EUR","","ARM","SHLM","","","","100.0","99.98000","","",""
"pncall3","EQ_DHS","PUBLISHED","2006","EUR","","AZE","NHLM","","",""," ","","","","Not reported due to very low sample size- Estimate is based on fewer than 25 cases."
"pncall3","EQ_DHS","PUBLISHED","2006","EUR","","AZE","SHLM","","","","84.3","84.34000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","EUR","","AZE","PRLM","","","","60.8","60.75000","","","Attention. Low sample size- Estimate is based on 25-49 cases."
"pncall3","EQ_DHS","PUBLISHED","2007","SEAR","","BGD","PRLM","","","","13.7","13.69000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","BEN","NHLM","","","","75.2","75.25000","","",""
"pncall5","EQ_DHS","PUBLISHED","2006","AFR","","BEN","SHLM","","","","98.6","98.61000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AMR","","BOL","SHLM","","","","93.4","93.43000","","",""
"pncall5","EQ_DHS","PUBLISHED","2005","WPR","","KHM","NHLM","","","","17.0","16.96000","","",""
"pncall5","EQ_DHS","PUBLISHED","2005","WPR","","KHM","SHLM","","","","58.0","57.96000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","WPR","","KHM","PRLM","","","","65.9","65.91000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","WPR","","KHM","NHLM","","","","43.1","43.08000","","",""
"pncall3","EQ_DHS","PUBLISHED","2010","AMR","","COL","PRLM","","","","89.3","89.28000","","",""
"pncall5","EQ_DHS","PUBLISHED","2010","AMR","","COL","NHLM","","","","76.3","76.34000","","",""
"pncall3","EQ_DHS","PUBLISHED","2005","AFR","","COG","PRLM","","","","80.0","80.04000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AFR","","COD","PRLM","","","","69.4","69.43000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","AFR","","COD","NHLM","","","","57.8","57.75000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AMR","","DOM","NHLM","","","","90.5","90.47000","","",""
"pncall3","EQ_DHS","PUBLISHED","2007","AMR","","DOM","SHLM","","","","99.8","99.78000","","",""
"pncall5","EQ_DHS","PUBLISHED","2007","AMR","","DOM","PRLM","","","","98.6","98.55000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","EMR","","EGY","NHLM","","","","53.2","53.24000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","EMR","","EGY","SHLM","","","","81.6","81.62000","","",""
"pncall3","EQ_DHS","PUBLISHED","2008","AFR","","GHA","PRLM","","","","60.2","60.18000","","",""
"pncall5","EQ_DHS","PUBLISHED","2008","AFR","","GHA","NHLM","","","","43.9","43.88000","","",""
