"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2015","EUR","BLR","TOTL","82","81.50997","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","EUR","BLR","RUR","77","76.62395","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2001","EUR","BEL","TOTL","86","85.57440","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2003","EUR","BEL","TOTL","86","85.57515","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2008","EUR","BEL","TOTL","89","88.93091","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2014","EMR","BHR","TOTL","96","96.00000","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","EMR","BHR","TOTL","96","96.00000","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","SEAR","BGD","RUR","14","13.78511","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","SEAR","BGD","RUR","19","18.56596","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","SEAR","BGD","RUR","21","20.74523","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2014","SEAR","BGD","RUR","29","28.81667","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","SEAR","BGD","RUR","31","31.24965","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2001","EUR","BLR","URB","88","88.45302","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2002","EUR","BLR","TOTL","90","90.04024","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","EUR","BLR","RUR","93","92.68076","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","EUR","BLR","URB","88","88.14769","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EUR","BLR","RUR","89","88.82199","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EUR","BLR","URB","87","87.08778","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","EUR","BLR","RUR","85","84.72659","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","EUR","BEL","TOTL","90","90.27254","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","AMR","BOL","TOTL","15","14.68393","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","AMR","BOL","TOTL","15","15.09189","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","AMR","BOL","URB","18","18.48602","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2008","AMR","BOL","URB","19","19.06478","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","AMR","BOL","TOTL","19","19.43901","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","AMR","BOL","TOTL","20","20.12291","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","AMR","BOL","URB","24","24.01593","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2017","AMR","BOL","URB","25","24.67496","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2002","EUR","BIH","TOTL","19","18.66326","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2003","EUR","BIH","TOTL","19","18.82021","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2017","EUR","BEL","TOTL","97","97.10018","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","AMR","BOL","URB","16","16.24388","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2014","AMR","BRA","URB","45","44.77678","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","EUR","BGR","TOTL","48","48.09141","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2001","EUR","BGR","TOTL","48","47.98667","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2003","EUR","BGR","URB","55","55.33756","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","EUR","BGR","URB","55","55.26034","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","EUR","BGR","URB","55","55.18313","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2008","EUR","BGR","TOTL","48","47.59225","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2009","EUR","BGR","TOTL","49","49.36834","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","EUR","BGR","URB","63","62.76920","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","EUR","BGR","URB","65","64.74803","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","EUR","BIH","URB","8","7.51401","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","EUR","BIH","URB","8","7.78053","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2011","EUR","BIH","TOTL","20","20.06761","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2012","EUR","BIH","TOTL","20","20.22277","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2014","EUR","BIH","URB","10","9.88303","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2015","EUR","BIH","URB","10","10.34628","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2001","AMR","BRA","TOTL","27","26.82738","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2002","AMR","BRA","TOTL","27","27.04426","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","AMR","BRA","URB","29","29.06270","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2006","AMR","BRA","URB","29","29.16897","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2009","AMR","BRA","TOTL","33","33.01898","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","AMR","BRA","TOTL","35","34.84603","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","AMR","BRA","URB","43","42.62167","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","AMR","CAN","RUR","77","76.70108","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2001","AMR","CAN","URB","77","76.82176","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2002","AMR","CAN","TOTL","77","76.79749","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2004","AMR","CAN","URB","78","78.18846","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","AMR","CAN","TOTL","79","78.80167","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","AMR","CAN","RUR","80","79.85405","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2007","AMR","CAN","URB","80","80.12387","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2008","AMR","CAN","TOTL","81","80.70438","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","AMR","CAN","RUR","82","81.62703","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2010","AMR","CAN","URB","82","82.04897","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","EUR","BGR","TOTL","62","62.45155","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2017","EUR","BGR","TOTL","64","64.41371","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2000","WPR","CHN","TOTL","27","26.55698","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2002","WPR","CHN","URB","31","30.65118","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2003","WPR","CHN","TOTL","29","29.47623","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","WPR","CHN","RUR","29","28.66075","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2005","WPR","CHN","URB","41","40.95506","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2008","WPR","CHN","RUR","33","33.26217","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2008","WPR","CHN","URB","51","51.33202","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2011","WPR","CHN","RUR","39","39.29267","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2011","WPR","CHN","URB","62","61.85100","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","AMR","CAN","RUR","82","82.05927","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2013","AMR","CAN","URB","83","82.60839","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","AMR","CAN","RUR","82","81.82285","","",""
"WSH_SANITATION_SAFELY_MANAGED","PUBLISHED","2016","AMR","CAN","URB","82","82.48792","","",""
